entity_type,relationship_type
,has_tributary
,inactive_ingredient_of
,included_in
,includes
,includes_sub_specimen
,indirect_morphology_of
,indirect_procedure_site_of
,induced_by
,induces
,ingredient_of
,inherent_location_of
,inheres_in
,inheritance_type_of
,intent_of
,interpretation_of
,interprets
,inverse_during
,inverse_was_a
,is_a
,is_broader_than
,is_child_of
,is_interpreted_by
,is_modification_of
,is_narrower_than
,is_parent_of
,is_pcdc_gct_authorized_value_for_variable
,lab_number_of
,laterality_of
,life_circumstance_of
,location_of
,manifestation_of
,manufactured_by
,manufactures
,mapped_from
,mapped_to
,may_be_diagnosed_by
,may_be_prevented_by
,may_be_treated_by
,may_diagnose
,may_prevent
,may_treat
,measured_by
,measured_component_of
,measurement_method_of
,measures
,mechanism_of_action_of
,member_of
,method_of
,moved_from
,moved_to
,multiply_mapped_from
,multiply_mapped_to
,noun_form_of
,occurs_after
,occurs_before
,occurs_in
,onset_of
,other_mapped_from
,other_mapped_to
,other_relation
,parent_of
,part_anatomy_structure_of
,part_of
,partially_equivalent_to
,pathological_process_of
,pharmacokinetics_of
,physiologic_effect_of
,place_traveled_to
,plays_role
,possibly_equivalent_to
,possibly_replaced_by
,possibly_replaces
,precise_ingredient_of
,primary_mapped_from
,primary_mapped_to
,print_name_of
,priority_of
,procedure_context_of
,procedure_device_of
,procedure_morphology_of
,procedure_site_of
,process_acts_on
,process_duration_of
,process_extends_to
,process_output_of
,property_of
,qualified_by
,realization_of
,recipient_category_of
,referred_to_by
,refers_to
,regulates
,related_to
,relative_to
,relative_to_part_of
,replaced_by
,replaces
,result_of
,revision_status_of
,role_has_domain
,role_has_range
,role_played_by
,route_of_administration_of
,same_as
,scale_type_of
,see_from
,severity_of
,sign_or_symptom_of
,specimen_of
,specimen_procedure_of
,specimen_source_identity_of
,specimen_source_morphology_of
,specimen_source_topography_of
,specimen_substance_of
,state_of_matter_of
,structural_class_of
,subject_of_information_of
,subject_relationship_context_of
,substance_used_by
,supported_concept_property_in
,surgical_approach_of
,synonym_of
,technique_of
,temporal_context_of
,temporally_followed_by
,temporally_follows
,temporally_related_to
,therapeutic_class_of
,tradename_of
,translation_of
,transliterated_form_of
,treats
,tributary_of
,uniquely_mapped_from
,uniquely_mapped_to
,used_by
,used_for
,uses
,uses_access_device
,uses_device
,uses_energy
,uses_excluded_substance
,uses_possibly_included_substance
,uses_substance
,was_a
,wound_has_communication_with
